"filename", "language", "HTML", "Markdown", "SCSS", "JavaScript", "XML", "CSS", "comment", "blank", "total"
"e:\Рабочая папака\renni-tech\new-site\renni\404.html", "HTML", 415, 0, 0, 0, 0, 0, 0, 9, 424
"e:\Рабочая папака\renni-tech\new-site\renni\README.md", "Markdown", 0, 2, 0, 0, 0, 0, 0, 1, 3
"e:\Рабочая папака\renni-tech\new-site\renni\about.html", "HTML", 471, 0, 0, 0, 0, 0, 0, 17, 488
"e:\Рабочая папака\renni-tech\new-site\renni\assets\template\css\fancybox.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 1, 2
"e:\Рабочая папака\renni-tech\new-site\renni\assets\template\css\fontawesome\css\all.css", "CSS", 0, 0, 0, 0, 0, 5345, 7, 2562, 7914
"e:\Рабочая папака\renni-tech\new-site\renni\assets\template\css\fontawesome\css\all.min.css", "CSS", 0, 0, 0, 0, 0, 3, 5, 1, 9
"e:\Рабочая папака\renni-tech\new-site\renni\assets\template\css\fontawesome\css\brands.css", "CSS", 0, 0, 0, 0, 0, 1072, 5, 533, 1610
"e:\Рабочая папака\renni-tech\new-site\renni\assets\template\css\fontawesome\css\brands.min.css", "CSS", 0, 0, 0, 0, 0, 1, 5, 0, 6
"e:\Рабочая папака\renni-tech\new-site\renni\assets\template\css\fontawesome\css\fontawesome.css", "CSS", 0, 0, 0, 0, 0, 4216, 7, 2021, 6244
"e:\Рабочая папака\renni-tech\new-site\renni\assets\template\css\fontawesome\css\fontawesome.min.css", "CSS", 0, 0, 0, 0, 0, 3, 5, 1, 9
"e:\Рабочая папака\renni-tech\new-site\renni\assets\template\css\fontawesome\css\regular.css", "CSS", 0, 0, 0, 0, 0, 12, 5, 3, 20
"e:\Рабочая папака\renni-tech\new-site\renni\assets\template\css\fontawesome\css\regular.min.css", "CSS", 0, 0, 0, 0, 0, 1, 5, 0, 6
"e:\Рабочая папака\renni-tech\new-site\renni\assets\template\css\fontawesome\css\solid.css", "CSS", 0, 0, 0, 0, 0, 12, 5, 3, 20
"e:\Рабочая папака\renni-tech\new-site\renni\assets\template\css\fontawesome\css\solid.min.css", "CSS", 0, 0, 0, 0, 0, 1, 5, 0, 6
"e:\Рабочая папака\renni-tech\new-site\renni\assets\template\css\fontawesome\css\svg-with-js.css", "CSS", 0, 0, 0, 0, 0, 387, 5, 70, 462
"e:\Рабочая папака\renni-tech\new-site\renni\assets\template\css\fontawesome\css\svg-with-js.min.css", "CSS", 0, 0, 0, 0, 0, 1, 5, 0, 6
"e:\Рабочая папака\renni-tech\new-site\renni\assets\template\css\fontawesome\css\v4-font-face.css", "CSS", 0, 0, 0, 0, 0, 18, 5, 4, 27
"e:\Рабочая папака\renni-tech\new-site\renni\assets\template\css\fontawesome\css\v4-font-face.min.css", "CSS", 0, 0, 0, 0, 0, 1, 5, 0, 6
"e:\Рабочая папака\renni-tech\new-site\renni\assets\template\css\fontawesome\css\v4-shims.css", "CSS", 0, 0, 0, 0, 0, 1566, 5, 624, 2195
"e:\Рабочая папака\renni-tech\new-site\renni\assets\template\css\fontawesome\css\v4-shims.min.css", "CSS", 0, 0, 0, 0, 0, 1, 5, 0, 6
"e:\Рабочая папака\renni-tech\new-site\renni\assets\template\css\fontawesome\css\v5-font-face.css", "CSS", 0, 0, 0, 0, 0, 15, 5, 3, 23
"e:\Рабочая папака\renni-tech\new-site\renni\assets\template\css\fontawesome\css\v5-font-face.min.css", "CSS", 0, 0, 0, 0, 0, 1, 5, 0, 6
"e:\Рабочая папака\renni-tech\new-site\renni\assets\template\css\style.css", "CSS", 0, 0, 0, 0, 0, 25033, 144, 1329, 26506
"e:\Рабочая папака\renni-tech\new-site\renni\assets\template\images\icon-home.svg", "XML", 0, 0, 0, 0, 5, 0, 0, 1, 6
